participant_id,number_of_windows,number_of_unique_states,number_of_unique_transitions,rare_transition_pct,normal_val_unseen_rate,abnormal_unseen_rate
001,12788,25,134,0.4552,0.0052,0.0
002,5223,21,89,0.4719,0.0185,0.0
003,20685,35,211,0.3886,0.0015,0.0
004,3135,15,66,0.5303,0.0138,0.0
005,23658,25,96,0.6979,0.0016,0.0
006,10764,15,49,0.5306,0.0016,0.0
007,17626,26,138,0.529,0.0042,0.0
008,10462,25,98,0.5102,0.0013,0.0
009,7418,27,131,0.5496,0.0037,0.0
010,29796,33,193,0.5699,0.0008,0.0
011,10975,14,60,0.5667,0.0088,0.0
012,6076,23,96,0.6979,0.0123,0.0
013,31570,18,101,0.4455,0.0017,0.0
014,4191,15,60,0.6167,0.0072,0.0
015,11366,15,80,0.45,0.0029,0.0
