participant_id,number_of_windows,number_of_unique_states,number_of_unique_transitions,rare_transition_pct,normal_val_unseen_rate,abnormal_unseen_rate
001,12788,8,31,0.4839,0.0003,0.0074
002,5223,8,31,0.3871,0.0038,0.0
003,20685,8,24,0.2917,0.0,0.0
004,3135,6,16,0.125,0.0,0.0
005,23658,8,27,0.3333,0.0,0.0
006,10764,6,16,0.125,0.0,0.0
007,17626,8,31,0.3871,0.0006,0.0
008,10462,7,19,0.2105,0.0003,0.0
009,7418,8,31,0.2903,0.0,0.0
010,29796,8,30,0.3,0.0001,0.0
011,10975,8,34,0.2059,0.0006,0.0
012,6076,8,30,0.1667,0.0005,0.0
013,31570,7,19,0.5263,0.0003,0.0
014,4191,7,18,0.3889,0.0016,0.0
015,11366,8,19,0.4211,0.0009,0.0
