participant_id,number_of_windows,number_of_unique_states,number_of_unique_transitions,rare_transition_pct,normal_val_unseen_rate,abnormal_unseen_rate
001,12788,5,16,0.375,0.0,0.0
002,5223,7,19,0.4737,0.0,0.0
003,20685,5,15,0.2,0.0,0.0
004,3135,2,4,0.0,0.0,0.0
005,23658,6,19,0.3684,0.0,0.0
006,10764,2,4,0.0,0.0,0.0
007,17626,7,24,0.375,0.0,0.0
008,10462,5,13,0.5385,0.0,0.0
009,7418,5,12,0.3333,0.0,0.0
010,29796,5,15,0.2667,0.0001,0.0
011,10975,2,4,0.0,0.0,0.0
012,6076,2,4,0.0,0.0,0.0
013,31570,5,12,0.5,0.0002,0.0
014,4191,5,11,0.6364,0.0008,0.0
015,11366,5,16,0.25,0.0015,0.0
