participant_id,number_of_windows,number_of_unique_states,number_of_unique_transitions,rare_transition_pct,normal_val_unseen_rate,abnormal_unseen_rate
001,6477,61,306,0.719,0.0313,0.0
002,2726,59,200,0.675,0.0497,0.0
003,10398,79,422,0.628,0.0129,0.0
004,1608,41,148,0.723,0.0787,0.0
005,11849,50,167,0.7545,0.0073,0.0
006,5560,34,104,0.625,0.0037,0.0
007,8990,69,350,0.6629,0.0247,0.0
008,5289,60,226,0.708,0.0121,0.0
009,3806,63,269,0.6803,0.0372,0.0
010,14952,84,337,0.7003,0.0058,0.0
011,5543,30,147,0.6395,0.0521,0.0
012,3113,59,210,0.7714,0.1238,0.0
013,15789,41,218,0.6972,0.0059,0.0
014,2113,27,93,0.7204,0.0561,0.0
015,5732,40,171,0.6257,0.0146,0.0
