participant_id,number_of_windows,number_of_unique_states,number_of_unique_transitions,rare_transition_pct,normal_val_unseen_rate,abnormal_unseen_rate
001,6477,10,55,0.5273,0.0026,0.0
002,2726,10,40,0.575,0.0061,0.0
003,10398,10,53,0.5849,0.0016,0.0
004,1608,9,39,0.7692,0.0166,0.0
005,11849,9,45,0.8,0.0014,0.0833
006,5560,10,47,0.4681,0.0042,0.0
007,8990,10,66,0.6061,0.0033,0.0
008,5289,10,50,0.68,0.0044,0.0
009,3806,10,55,0.6545,0.0009,0.0
010,14952,9,50,0.78,0.0002,0.0
011,5543,9,33,0.6667,0.0512,0.0
012,3113,10,43,0.7209,0.0075,0.0
013,15789,9,22,0.5909,0.0006,0.0
014,2113,9,30,0.7667,0.0111,0.0
015,5732,9,45,0.7556,0.0041,0.0
