participant_id,number_of_windows,number_of_unique_states,number_of_unique_transitions,rare_transition_pct,normal_val_unseen_rate,abnormal_unseen_rate
001,6477,25,158,0.6013,0.0093,0.0
002,2726,24,109,0.6422,0.0122,0.0
003,10398,30,200,0.54,0.0055,0.0
004,1608,19,77,0.6234,0.0439,0.0
005,11849,23,96,0.6979,0.0041,0.0
006,5560,17,54,0.5741,0.0018,0.0
007,8990,26,170,0.6176,0.0071,0.0
008,5289,24,111,0.6667,0.0076,0.0
009,3806,29,152,0.6579,0.0365,0.0
010,14952,31,166,0.6386,0.0018,0.0
011,5543,22,113,0.5841,0.0465,0.0
012,3113,23,119,0.6975,0.0214,0.0
013,15789,25,155,0.6452,0.0044,0.0
014,2113,17,76,0.7105,0.0545,0.0
015,5732,24,115,0.6,0.0111,0.0
